method,label,method_type,view_index,camera_id,region,region_pixels,valid_points,coverage,xyz_span_x,xyz_span_y,xyz_span_z,xyz_span_norm,z_relief_p95_p5,neighbor_delta_median,neighbor_delta_p95,mean_l2_from_v25_baseline,confidence_mean,normal_available,notes
v25_base_vggt,V25 base VGGT,vggt_baseline,0,00,full,11240,11240,1.0,0.10364371292293072,0.32388698041439057,0.2081388485431671,0.39870612684441925,0.19715509712696078,0.0017446456477046013,0.003334448207169771,nan,4.7498860359191895,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,0,00,upper,7923,7923,1.0,0.10701855733990669,0.18661390289664265,0.11443994522094714,0.24366826102635084,0.10073884725570681,0.0016377277206629515,0.0031022594776004553,nan,4.8473663330078125,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,0,00,head_face,3695,3695,1.0,0.0826792037859559,0.11565813653171063,0.05294677972793582,0.15171030541207806,0.046390211582183816,0.0015168520621955395,0.0029375655576586723,nan,4.865838527679443,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,0,00,left_hand,4660,4660,1.0,0.0533784757554531,0.21110632717609407,0.1416451048851013,0.2597662002371881,0.13169724345207212,0.0017345462692901492,0.003089364618062973,nan,5.17420768737793,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,0,00,right_hand,3619,3619,1.0,0.053416285812854764,0.19893725782632826,0.1310466647148132,0.24413635631420458,0.10881274938583363,0.0017444656696170568,0.0031066753435879946,nan,4.944862365722656,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,1,01,full,14315,14315,1.0,0.10695136725902557,0.32031271934509276,0.2086632537841796,0.3969624498773455,0.19356451630592342,0.0015408660983666778,0.0033333308529108763,nan,4.254153728485107,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,1,01,upper,10223,10223,1.0,0.11081083424389361,0.1963868834078312,0.1232194328308105,0.25696279416992523,0.11091121435165407,0.0014677293365821242,0.0032573926728218794,nan,4.2640604972839355,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,1,01,head_face,4842,4842,1.0,0.0839583441242576,0.13085303146392108,0.07115286946296695,0.1709802626743777,0.060492420196533225,0.0014229369116947055,0.002995857736095786,nan,4.118438720703125,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,1,01,left_hand,5906,5906,1.0,0.05461144838482141,0.2084609791636467,0.14634250402450566,0.2604889990243673,0.13488653302192688,0.0015389042673632503,0.0031567218247801065,nan,4.562992095947266,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,1,01,right_hand,4752,4752,1.0,0.055818099305033606,0.2023435857892036,0.13577570676803585,0.24998725861215218,0.12140339910984033,0.0014971460914239287,0.003102477639913559,nan,4.45753288269043,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,2,06,full,9293,9293,1.0,0.0930816753208637,0.33293231070041657,0.23286767005920406,0.41681587487481775,0.1961451649665833,0.0019116877811029553,0.004601195454597473,nan,3.5579304695129395,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,2,06,upper,6435,6435,1.0,0.09740576580166813,0.19436330348253245,0.12306760311126708,0.2498211598075807,0.10257612466812127,0.0018000178970396519,0.004669570364058018,nan,3.510329484939575,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,2,06,head_face,3269,3269,1.0,0.08146185331046582,0.12450796738266942,0.09412041187286369,0.1760594201332528,0.06283448934555058,0.0016744076274335384,0.0048459782265126705,nan,3.4921677112579346,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,2,06,left_hand,2768,2768,1.0,0.057716871723532646,0.20278263986110684,0.12675207376480102,0.24600431808053214,0.11039921641349804,0.001838112249970436,0.004288185387849808,nan,3.545853614807129,False,"base VGGT research prediction, human_prior_channels=0"
