path,category,exists,size_bytes,sha256,json_readable,csv_readable,csv_columns,png_open,image_size,py_readable,mentions_raw_points_xy,raw_points_xy_main_risk,readable,npz_readable,npz_keys,zip_clean,zip_entry_count
D:\vggt\vggt-canonical-surfel-adapter\reports\V10170000000000000000_flatness_and_depth_render_decision.json,reports,True,1247,4b5894adaa8f0585977a7b28dc5be7d098b97e59ac989c29b783221d37ecbf12,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10170000000000000000_flatness_geometry_audit.csv,reports,True,3430,6a39c7233416fd2d6b1d9419cc445524a5b63d93bbe59da19360ca047a3c1494,,True,28,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\boards\V10170000000000000000_0012_11_frame001_oblique_depth_pointcloud_audit.png,boards,True,185322,2d9c15e681dd58dc5fe63ae0565703c11d144e7f6daf865678c98de3fbe564c0,,,,True,1170x640,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\tools\V10170_flatness_and_depth_render_audit.py,tools,True,11367,26c41b0962a60005be15a7cc2139a59a7f7dedd55f2b07a7d79e665666361d51,,,,,,True,True,False,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10180000000000000000_depth_cue_and_geometry_repair_decision.json,reports,True,1536,ba76fe364319cf495415e0d1e59e55280986e0aa01d4fda6fbb8b0c218730c69,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10180000000000000000_depth_cue_and_geometry_repair_decision.md,reports,True,1326,a6eb10c3d51bd1d26a542db81e197249a667975a8d5d7f66e9c3da5b338c696b,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\tools\V10180_geometry_depth_repair_decision.py,tools,True,6590,fcfdbae632c51b68c2cebd0ee46641a3a4797abb91c37d14f0d62069cf1760e2,,,,,,True,True,False,,,,,
D:\vggt\vggt-canonical-surfel-adapter\docs\goals\V10180000000000000000_auto_evolved_depth_cue_or_geometry_repair_route.md,goals,True,1694,3276277070cc3329b2ded7d3fae98577ec3a59c1460da9e2ef5d703a0de66beb,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10190000000000000000_thickness_aware_geometry_audit.csv,reports,True,938,1bcee6760de38a2b38aab8e44333f5e59cf8cdf15ebe6d468fbdc653042a22ff,,True,8,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10190000000000000000_thickness_aware_geometry_candidate_decision.json,reports,True,1922,8c59be9cafa6a4f0ce8955ea7a4994e493a6b93a049d7e1001a462826b255723,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\boards\V10190000000000000000_0012_11_frame001_thickness_aware_geometry_board.png,boards,True,179461,b9a786c6ba51948cc969e69d542a2b6933403244aec8fc54184ebbc67d248619,,,,True,1170x640,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\tools\V10190_thickness_aware_geometry_candidate.py,tools,True,16655,50f4b46028a24a3f257bd09fc8a1492e694325fc07b4abeba8c701718f734da0,,,,,,True,False,False,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10210000000000000000_training_asset_manifest.csv,reports,True,7647,40e04a4239c22583f4917a479b3c8e1adc2c45188098bcc6fa134d39d24749b2,,True,47,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10210000000000000000_true_3d_geometry_loss_contract.md,reports,True,1590,1eceb6b05450bd80806f67c9295bc2c57fc0d2caed9187947052873ee0afc186,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10210000000000000000_true_3d_geometry_training_payload_decision.json,reports,True,1181,6b9ac241af1279c38b45b74b41b67febd1caa8dea596eb53d4c24b131233d621,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\tools\V10210_true_3d_geometry_training_payload.py,tools,True,10879,128a7d0b9ca426034b1692d9702e19ed05c06725711a6d9ae2b9dc163d7d755f,,,,,,True,False,False,,,,,
D:\vggt\vggt-canonical-surfel-adapter\docs\goals\V10210000000000000000_auto_evolved_true_3d_geometry_training_route.md,goals,True,817,1aef2adc6db804384ec7116dfe6ea5810f28f977e923a422c02ba6b75d7763db,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10220000000000000000_true_3d_geometry_model_smoke.json,reports,True,1497,05197a4da2e86c4250763f7543e72f9d3da6e7909f75eff1ccd8feacccb1267d,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\tools\V10220_true_3d_geometry_model_smoke.py,tools,True,7990,1c67209dee47f508a7d83f266e9eeeb556aab927f22c0c41eddd84b28f9ef374,,,,,,True,False,False,,,,,
D:\vggt\vggt-canonical-surfel-adapter\docs\goals\V10220000000000000000_auto_evolved_true_3d_geometry_smoke_route.md,goals,True,388,5d1558756fd74306ae8ceaf5aa6173d8d4599e76abab1b9283c1ce398eb7d231,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10230000000000000000_current_route_state.json,reports,True,2826,e3304f5548f7a398bbafa4ee27156dae6f87f66c8f62968567ca7efca6f188ec,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\tools\V10230_current_route_state.py,tools,True,3739,b14836daf38af86c99237e8f43b4e3f252334ee02c2f5e1e6c982bcdeb294276,,,,,,True,True,False,,,,,
D:\vggt\vggt-canonical-surfel-adapter\docs\goals\V10230000000000000000_auto_evolved_training_execution_or_modal_payload_route.md,goals,True,429,0da80707facf48cebd95a58e2bba000ab6a9491493491d7b0f92f04ba1beec29,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V3930000000000000000_face_detail_guard_decision.json,reports,True,1105,d08ae57d8e49ea3a2b63da13deb2f1431307d490570b2d4051e913899810e013,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V3930000000000000000_face_detail_guard_findings.md,reports,True,625,368ef94d230766367042fd657f1757855d4662732281df46848cc975ea73dacf,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V4040000000000000000_face_visibility_gate.json,reports,True,2765,e55ee96373c70ae91246b7e3621fad6f2069e15d31e6d43ddeacdbde8189fe41,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V4040000000000000000_face_visibility_metrics.csv,reports,True,906,53e2c767f1cfcd4f77d0c9f471fead0fb5dd3fa56e55aa15f83025789cddeb49,,True,11,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V404_smplx_numpy_feature_snippets.json,reports,True,49814,f364be46b3bbcab7b993049fd67343595e53b905ad5f0a0703e4e934c5a90d84,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\boards\V4040000000000000000_face_visibility_source_board.png,boards,True,205329,fdf1b6e60c03a2dd662058baa10e4b6f3956fcef379cbb18681115aec011c524,,,,True,720x720,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\tools\v40400000000_modal_matrix_decision.py,tools,True,3404,68985904b62636765c3cb02076d97fdebfc339f4837204f46bed8bd9214aaf1b,,,,,,True,False,False,,,,,
D:\vggt\vggt-canonical-surfel-adapter\tools\V4040_face_visibility_gate.py,tools,True,7979,c55c5310c8af50781984c723c209eadcb6513494069b147c98094fe7c4509d1e,,,,,,True,False,False,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V4050000000000000000_body_morphology_gate.json,reports,True,1429,6df5e61051a879a13c55ce88c2b134b5734d83ee259ab7b726460cca8a3d0cc0,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V4050000000000000000_body_morphology_metrics.csv,reports,True,1271,e0b73d9ea821364c748f32103385eb7236e5f618f9b0cc7cfb2abe9d621c7017,,True,11,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V4050000000000000000_route_decision.json,reports,True,389,def00d36f928fa60c2dd6d219ec08a2ec97983278848259eaea7f24b4726e8a2,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\boards\V4050000000000000000_body_morphology_controls_board.png,boards,True,272653,d10e297cdc83ac74bced543bc90546b75a417df141585f2bb32008cce6067f9b,,,,True,1380x820,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\tools\V4050_body_morphology_gate.py,tools,True,6865,61c91a1111b83bf212ea508bd51b02ebdfdad25dc728bb858bc8a76c4bf63765,,,,,,True,False,False,,,,,
D:\vggt\vggt-canonical-surfel-adapter\docs\goals\V4050000000000000000_auto_evolved_head_contour_body_morphology_route.md,goals,True,1228,0c4c7a16969de3a083c6f6c2e2812508ad6fd2cbbf11f4d45e32c57f8b56a9ce,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10240000000000000000_goal_file_manifest.json,reports,True,1246,418b5ebb6a9a408420034d9228fd29129d772e05146f0664accd1562a1385779,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10240000000000000000_v10230_checkpoint_freeze.json,reports,True,1937,1b193f5e47a0801a630caa72d21fe3d2ea714a7257a145a765a79c798a5bb89e,True,,,,,,,,,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10240000000000000000_visual_and_geometry_failure_register.md,reports,True,732,636a3c66d0b53a7157acfc0525ee2f633d3088a6c47d0411956df0de0613d4f0,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\reports\V10240000000000000000_why_v10230_is_not_final.md,reports,True,1147,96201ba14ba36a23a09a0a408522884735c40225a364819ccb0fdcfc582d1f90,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\tools\V10240_volume_aware_bootstrap.py,tools,True,38528,0f67e2012a1aa857fe6a02fa71af3e67f137068735d483d4ad22666abb8cb653,,,,,,True,True,False,,,,,
D:\vggt\vggt-canonical-surfel-adapter\docs\goals\V10240000000000000000_V30000000000000000000_volume_aware_3d_morphology_goal.md,goals,True,24038,27b513f1dee24067e8d4f36cf430e2e29d44fd441b057193ea3539975ad10cc3,,,,,,,,,True,,,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\real_vggt_baseline_only\predictions.npz,training_input,True,1018140,541d9ad24fe8ff32bed6f82c84deb3131c70602c988aa1300713e0b1045cc019,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V5360000000000000000_geometry_part_binding_repair\0012_11_frame001\mentor_view_geometry_part_graph.npz,training_input,True,649997,35b7184f662043cfac39516b4dd04458f10beb6ed02afd6877eedb3ebf60ca67,,,,,,,,,,True,case_id;mentor_points;mentor_rgb;environment_points;environment_rgb;raw_body_part_id;geometry_body_part_id;mentor_to_smpl_index;mentor_to_smpl_norm_distance;mentor_smpl_confidence;mentor_weak_region_score;no_change_mask;head_hair_contour_mask;shoulder_neck_mask;hand_arm_endpoint_mask;clothing_torso_boundary_mask;leg_foot_morphology_mask;geometry_thresholds_json;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\0012_11_frame001\repaired_detail_regions_world_rgb.npz,training_input,True,940742,1c790dbc0f56b373fd5ec0f66556e1e80b596d811ef45d9852949a69fe19a38f,,,,,,,,,,True,world_points;rgb;confidence;body_part_id;student_points;student_rgb;student_active_mask;artifact_path;prediction_path;mask_head_hair;mask_face_head_silhouette;mask_shoulder_neck;mask_torso_clothing_boundary;mask_arms_hands;mask_feet_leg_boundary;mask_mask_boundary_band;mask_vggt_high_confidence_detail_band;mask_body_part_0;mask_body_part_1;mask_body_part_2,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\posthoc_surfel_only\predictions.npz,training_input,True,1326935,5e32492a82515fcc32ec1ccddfe168f4810a8af4bb907c8c6801af67f0970989,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\same_topology_no_semantic\predictions.npz,training_input,True,1252961,165f0a2c2ea954ef0a9c0b073e9162750b8e9c1d18ff6953b6d6294d30636709,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\tiny_synthetic_token_control\predictions.npz,training_input,True,1011531,4fde05d08d4350b9d9a3f2738b7c25d8a1837469582c5b715c9fed61101888f7,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0012_11_frame001\shuffled_smpl_feature\predictions.npz,training_input,True,1435620,b0a04288aa8bfae45c087380a48a673490465815041914a4c87a40b81cff183a,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
