case,config,steps,seed,prediction,ply,loss_history,human_pca_thickness_ratio,human_z_range,model_owned_student_output,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,mentor_ready
0012_11_frame001,volume_aware_true,80,10700,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\volume_aware_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\volume_aware_true\full_scene_rgb_pointcloud.ply,"[{""step"": 0, ""loss"": 0.015414317138493061, ""fit"": 0.01617412082850933, ""preserve"": 0.0, ""shell_term"": -0.0015113967237994075}, {""step"": 79, ""loss"": 0.002817821456119418, ""fit"": 0.00593124283477664, ""preserve"": 0.0, ""shell_term"": -0.003148533869534731}]",0.3913522772678415,0.2264118790626526,True,False,False,False
0012_11_frame001,real_vggt_baseline_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply,,0.35827478755344805,0.20359379053115845,,False,False,False
0012_11_frame001,posthoc_surfel_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply,,0.35295132937629675,0.20359379053115845,,False,False,False
0012_11_frame001,same_topology_no_semantic,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply,,0.15739636119859873,0.08434653282165527,,False,False,False
0012_11_frame001,tiny_synthetic_token_control,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply,,0.35818457888962696,0.20359379053115845,,False,False,False
0012_11_frame001,shuffled_smpl_feature,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply,,0.42806587854574085,0.26211702823638916,,False,False,False
0012_11_frame001,thickness_only_control,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\thickness_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\thickness_only_control\full_scene_rgb_pointcloud.ply,,0.4339680957310146,0.2359204836557065,,False,False,False
0012_11_frame001,baseline_preservation_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\baseline_preservation_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0012_11_frame001\baseline_preservation_only\full_scene_rgb_pointcloud.ply,,0.35827478755344805,0.20359379053115845,,False,False,False
0013_01_frame001,volume_aware_true,80,10700,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\volume_aware_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\volume_aware_true\full_scene_rgb_pointcloud.ply,"[{""step"": 0, ""loss"": 0.013709897175431252, ""fit"": 0.014795548282563686, ""preserve"": 0.0, ""shell_term"": -0.0014505356084555387}, {""step"": 79, ""loss"": 0.0058823986910283566, ""fit"": 0.009019177407026291, ""preserve"": 0.0, ""shell_term"": -0.003156353486701846}]",0.36550690712575656,0.22365188598632812,True,False,False,False
0013_01_frame001,real_vggt_baseline_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply,,0.33215459282226123,0.19734370708465576,,False,False,False
0013_01_frame001,posthoc_surfel_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply,,0.32389897620309216,0.19734370708465576,,False,False,False
0013_01_frame001,same_topology_no_semantic,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply,,0.13344995876017693,0.07966041564941406,,False,False,False
0013_01_frame001,tiny_synthetic_token_control,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply,,0.3296455259126536,0.19734370708465576,,False,False,False
0013_01_frame001,shuffled_smpl_feature,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply,,0.38996626924074734,0.22230565547943115,,False,False,False
0013_01_frame001,thickness_only_control,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\thickness_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\thickness_only_control\full_scene_rgb_pointcloud.ply,,0.42237429793943804,0.23317540532569092,,False,False,False
0013_01_frame001,baseline_preservation_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\baseline_preservation_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0013_01_frame001\baseline_preservation_only\full_scene_rgb_pointcloud.ply,,0.33215459282226123,0.19734370708465576,,False,False,False
0021_03_frame001,volume_aware_true,80,10700,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\volume_aware_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\volume_aware_true\full_scene_rgb_pointcloud.ply,"[{""step"": 0, ""loss"": 0.01344743836671114, ""fit"": 0.014598344452679157, ""preserve"": 0.0, ""shell_term"": -0.00143308041151613}, {""step"": 79, ""loss"": 0.005764405708760023, ""fit"": 0.008887933567166328, ""preserve"": 0.0, ""shell_term"": -0.003168695140630007}]",0.36557795814858585,0.23296695947647095,True,False,False,False
0021_03_frame001,real_vggt_baseline_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply,,0.3299654900634827,0.20640623569488525,,False,False,False
0021_03_frame001,posthoc_surfel_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply,,0.32373014412533846,0.20640623569488525,,False,False,False
0021_03_frame001,same_topology_no_semantic,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply,,0.11793869604529122,0.07373881340026855,,False,False,False
0021_03_frame001,tiny_synthetic_token_control,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply,,0.3274028193095784,0.20640623569488525,,False,False,False
0021_03_frame001,shuffled_smpl_feature,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply,,0.3172641512165774,0.25167518854141235,,False,False,False
0021_03_frame001,thickness_only_control,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\thickness_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\thickness_only_control\full_scene_rgb_pointcloud.ply,,0.388595188919319,0.2415274355859034,,False,False,False
0021_03_frame001,baseline_preservation_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\baseline_preservation_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\0021_03_frame001\baseline_preservation_only\full_scene_rgb_pointcloud.ply,,0.3299654900634827,0.20640623569488525,,False,False,False
current_v895_0021_03,volume_aware_true,80,10700,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\current_v895_0021_03\volume_aware_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\current_v895_0021_03\volume_aware_true\full_scene_rgb_pointcloud.ply,"[{""step"": 0, ""loss"": 0.013039127923548222, ""fit"": 0.014079306274652481, ""preserve"": 0.0, ""shell_term"": -0.0014404881512746215}, {""step"": 79, ""loss"": 0.0016929823905229568, ""fit"": 0.004796678200364113, ""preserve"": 0.0, ""shell_term"": -0.003135760547593236}]",0.36503654447154427,0.2330968976020813,True,False,False,False
current_v895_0021_03,real_vggt_baseline_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\current_v895_0021_03\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\current_v895_0021_03\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply,,0.32951297240292293,0.20656251907348633,,False,False,False
current_v895_0021_03,posthoc_surfel_only,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\current_v895_0021_03\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\current_v895_0021_03\posthoc_surfel_only\full_scene_rgb_pointcloud.ply,,0.3233726512386631,0.20656251907348633,,False,False,False
current_v895_0021_03,same_topology_no_semantic,,,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\current_v895_0021_03\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V10700000000000000000_volume_aware_training_matrix\current_v895_0021_03\same_topology_no_semantic\full_scene_rgb_pointcloud.ply,,0.12963162366131187,0.07777547836303711,,False,False,False
