bundle,path,size_bytes,sha256,zip_clean,entry_count,role
V115000000000000000_controls_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_controls_bundle.zip,295104,ebee8cb244cf782b5aaaa68e5a91dbf9c07c869a2cf2df41bebab39eddabfb81,True,2,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_core_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_core_bundle.zip,14453,86d67de7af001511393bf3d49b58199789992ced00e964230de8e741dd057bad,True,3,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_detail_sources_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_detail_sources_bundle.zip,2368972,41a28ccea77371d1df3ac976b07f664ac0cae585c29610aa2262153a01a60fb6,True,4,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_detail_verified_predictions_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_detail_verified_predictions_bundle.zip,44298805,855f7f033013777c903c3a90bcc84ed9b38cf7d97cb19962b561df37685babdd,True,30,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_environment_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_environment_bundle.zip,156114,a2fbc380bd6568e499bb0c2c5c720bb63931d6c89c41b05e9817daa9837db06f,True,1,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_full_forward_effect_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_full_forward_effect_bundle.zip,6757693,e1ec8652997c28509acd9bca58fe29218c368ca935b814cf02eb072d651f8d3d,True,8,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_local_closeups_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_local_closeups_bundle.zip,521562,99996428f11615b30f5cb8bb2d1b2ff247ec7a0a2f82c0cfe98c7416c6c65457,True,3,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_metrics_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_metrics_bundle.zip,2706,62d68fec692efab682066af43fb4304ff0b986470ea7de11f426ae62d0e57146,True,2,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_multisequence_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_multisequence_bundle.zip,229477,39aa0a77095d43ceb44b80dea3c331d527c1227d80cfb531e723131bba46ec76,True,2,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_predictions_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_predictions_bundle.zip,44298505,c716c2561522f65b61ee0748dd6168007a6d851d1f6c91d301f98697d6d0d045,True,30,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_reports_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_reports_bundle.zip,3562,6505c17292d5720ec74b4cd3abc63555dc31486785230628dd39c19db75f89b5,True,4,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_viewer_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_viewer_bundle.zip,5649825,7608da3a42d763e8f46db1b17f7dd31da39ef5287a1e304552e4bbf5fa8d83b7,True,7,"V120 checkpoint evidence; audited, not final mentor evidence"
V115000000000000000_visuals_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V115000000000000000_visuals_bundle.zip,679912,58c3525a3625c7e810517dda5e08b0131a9cbbd764f166fc308c44c0614d6aa3,True,3,"V120 checkpoint evidence; audited, not final mentor evidence"
