case,config,human_points,environment_points,human_ratio,same_point_budget,same_environment_budget,mask_inside_ratio,edge_alignment,rgb_reprojection_residual,projection_score,fair_score_v2,config_name_used_for_bonus,detail_bonus_used,control_penalty_used,prediction_npz,ply
current_v895_0021_03,photometric_geometry_true,60000,24000,0.7142857142857143,True,True,0.9989833333333333,0.30988332629203796,0.0,0.7925379978876114,0.8340405609767557,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\photometric_geometry_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\photometric_geometry_true\full_scene_rgb_pointcloud.ply
current_v895_0021_03,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,0.8344666666666667,0.06878333538770676,0.043440189212560654,0.6389477476367951,0.7123791255506438,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
current_v895_0021_03,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,0.8103833333333333,0.042633332312107086,0.05887299403548241,0.616666561363697,0.6946406818172695,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
current_v895_0021_03,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,0.8545,0.04058333486318588,0.05793457478284836,0.6348433195197583,0.7087503058679782,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
current_v895_0021_03,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,0.75175,0.046566665172576904,0.04679792746901512,0.5966015798604489,0.6792957806136689,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
current_v895_0021_03,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,0.76285,0.04846666753292084,0.048739150166511536,0.601290038213253,0.6829161350689372,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
current_v895_0021_03,random_smpl_feature,60000,24000,0.7142857142857143,True,True,0.7091,0.04149999842047691,0.048760149627923965,0.5766191576303243,0.6637167206079801,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\random_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\random_smpl_feature\full_scene_rgb_pointcloud.ply
current_v895_0021_03,source_label_only_control,60000,24000,0.7142857142857143,True,True,0.7375833333333334,0.0437166653573513,0.04657013341784477,0.5898603622502089,0.6740467511326552,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\source_label_only_control\full_scene_rgb_pointcloud.ply
0021_03_frame001,photometric_geometry_true,60000,24000,0.7142857142857143,True,True,0.9992,0.30845001339912415,0.0,0.7921990040197373,0.8337671992157898,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\photometric_geometry_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\photometric_geometry_true\full_scene_rgb_pointcloud.ply
0021_03_frame001,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,0.8372166666666667,0.06961666792631149,0.043389324098825455,0.6403669896302224,0.7134875277965229,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
0021_03_frame001,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,0.8119833333333333,0.04104999825358391,0.05947402864694595,0.6166952714549303,0.6946416395441414,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
0021_03_frame001,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,0.85025,0.041600000113248825,0.057654839009046555,0.6334416451114415,0.7076742636990627,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
0021_03_frame001,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,0.7511666666666666,0.04554999992251396,0.04644453153014183,0.5961505311483145,0.6789443089366834,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
0021_03_frame001,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,0.7680666666666667,0.04769999906420708,0.04889172688126564,0.6032083161925077,0.6843970650185268,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
0021_03_frame001,random_smpl_feature,60000,24000,0.7142857142857143,True,True,0.7071333333333333,0.04235000163316727,0.048690762370824814,0.5760675870261192,0.6632958246638537,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\random_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\random_smpl_feature\full_scene_rgb_pointcloud.ply
0021_03_frame001,source_label_only_control,60000,24000,0.7142857142857143,True,True,0.7334166666666667,0.04388333484530449,0.04618697986006737,0.5882676460927725,0.6728180764089506,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\source_label_only_control\full_scene_rgb_pointcloud.ply
0012_11_frame001,photometric_geometry_true,60000,24000,0.7142857142857143,True,True,0.9992333333333333,0.3163999915122986,0.0,0.7945979974536896,0.8356860606296184,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\photometric_geometry_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\photometric_geometry_true\full_scene_rgb_pointcloud.ply
0012_11_frame001,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,0.8429,0.07328333705663681,0.038106098771095276,0.6453332934610844,0.7174565697811565,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
