case,config,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,adjacency_collision_score_v4,adjacency_collision_fail_v4,part_presence_score,valid_contact_score,invalid_overlap_penalty,adjacent_overmerge_penalty,distant_separation_score,semantic_order_score,combined_topology_volume_score_v4,combined_fail_v4
0012_11_frame001,adjacency_topology_true,0.39457592326480595,0.02763115099579855,147,0.6258503401360545,0.4013605442176871,0.02040816326530612,3.2448979591836733,0.278155237112739,0.8990825168197298,382,0.9581151832460733,12,0.6204016490149035,0.5455629935279563,0.537372044123872,True,0.4958278200887509,True,1.0,0.5562108206076337,0.8822472240102128,0.6843197674082652,0.3669392960780882,0.3333333333333333,0.5226848137459219,True
0012_11_frame001,multishell_topology_decoder_true,0.4503703313547338,0.05442627337071812,163,0.7484662576687117,0.558282208588957,0.012269938650306749,3.803680981595092,0.3492709388108353,0.8522253684342446,505,0.9821782178217822,7,0.6004012126543563,0.6310092907777177,0.4480371607573153,True,0.5301360606531834,True,1.0,0.5211823536513085,0.8333357110997494,0.4710808912595311,0.38094457401508147,0.3333333333333333,0.584607604920432,True
0012_11_frame001,collision_aware_topology_true,0.41401981922697045,0.06661561068940472,173,0.6936416184971098,0.5260115606936416,0.017341040462427744,3.658959537572254,0.33313657384112133,1.0186210210859028,506,0.9841897233201581,7,0.6004012126543563,0.5963164407052892,0.49604166304187647,True,0.5375095613902885,True,1.0,0.6172197733287978,0.8651290106549103,0.4987485439814256,0.35207723092766247,0.3333333333333333,0.5692652762203889,True
0012_11_frame001,real_vggt_baseline_only,0.358274787553449,0.016710194087364703,182,0.14285714285714285,0.04945054945054945,0.0989010989010989,1.521978021978022,0.05145815301211228,0.3682742917566447,213,0.7652582159624414,13,1.0,0.3591760440802873,0.6702858992602442,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0012_11_frame001,same_topology_no_semantic,0.1573963611985987,0.008973168734849345,171,0.9064327485380117,0.5614035087719298,0.05847953216374269,3.853801169590643,0.45278133222452854,0.6707459556113927,469,1.0,1,1.0,0.5611661329441531,0.4924935435047583,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0012_11_frame001,shuffled_smpl_feature,0.42806587854573946,0.02236601175629068,183,0.4918032786885246,0.22950819672131148,0.0,2.7049180327868854,0.21633174099154454,0.5869697240999322,380,0.9578947368421052,10,1.0,0.5161079015497834,0.5308496763782112,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0012_11_frame001,thickness_only_control,0.4339681069233774,0.04425350873284701,178,0.20224719101123595,0.07865168539325842,0.05056179775280899,1.803370786516854,0.10026141137410166,0.3528963580671752,261,0.8582375478927203,8,1.0,0.42063528728923866,0.6075964213561353,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0012_11_frame001,posthoc_surfel_only,0.3529513293762969,0.016463453837703864,172,0.16279069767441862,0.06395348837209303,0.12209302325581395,1.6046511627906976,0.06290431709013833,0.580541260368294,223,0.8565022421524664,12,1.0,0.376857376679488,0.6695859241499755,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0012_11_frame001,tiny_synthetic_token_control,0.35818457888962774,0.01669086222981836,170,0.1588235294117647,0.058823529411764705,0.11176470588235295,1.5941176470588236,0.05445479886914762,0.4143255570143156,211,0.7488151658767772,16,1.0,0.3644697297130483,0.6686763148480969,True,0.0,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
0013_01_frame001,adjacency_topology_true,0.3646245291888909,0.02283983825893724,151,0.7417218543046358,0.5496688741721855,0.033112582781456956,3.543046357615894,0.31861047251971075,0.8419348305694022,411,0.9854014598540146,6,0.7558905174328855,0.5940870876418975,0.4798732807518718,True,0.5490493560101959,True,1.0,0.5972784022943852,0.7961894708491012,0.5741891982144572,0.4652961217559077,0.3333333333333333,0.5733697310913148,True
