case,config,prediction_npz,ply,projection_uv_persisted,full_forward_trace,projection_asset_rgb,projection_asset_mask,config_agnostic_score,same_human_point_budget,same_environment_budget,no_cpu_final,no_teacher_points_at_inference,no_raw_kinect_depth_at_inference,route
current_v895_0021_03,photometric_geometry_true,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\photometric_geometry_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\photometric_geometry_true\full_scene_rgb_pointcloud.ply,True,D:\vggt\vggt-canonical-surfel-adapter\output\V23000000000000000_per_case_full_forward_effect\current_v895_0021_03\trace.json,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_rgb_518.png,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_mask_518.png,True,True,True,True,True,True,V270_auto_evolved_photometric_repair
current_v895_0021_03,real_vggt_baseline_only,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply,True,D:\vggt\vggt-canonical-surfel-adapter\output\V23000000000000000_per_case_full_forward_effect\current_v895_0021_03\trace.json,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_rgb_518.png,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_mask_518.png,True,True,True,True,True,True,V270_auto_evolved_photometric_repair
current_v895_0021_03,no_smpl_feature,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\no_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\no_smpl_feature\full_scene_rgb_pointcloud.ply,True,D:\vggt\vggt-canonical-surfel-adapter\output\V23000000000000000_per_case_full_forward_effect\current_v895_0021_03\trace.json,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_rgb_518.png,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_mask_518.png,True,True,True,True,True,True,V270_auto_evolved_photometric_repair
current_v895_0021_03,random_smpl_feature,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\random_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\random_smpl_feature\full_scene_rgb_pointcloud.ply,True,D:\vggt\vggt-canonical-surfel-adapter\output\V23000000000000000_per_case_full_forward_effect\current_v895_0021_03\trace.json,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_rgb_518.png,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_mask_518.png,True,True,True,True,True,True,V270_auto_evolved_photometric_repair
current_v895_0021_03,shuffled_smpl_feature,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply,True,D:\vggt\vggt-canonical-surfel-adapter\output\V23000000000000000_per_case_full_forward_effect\current_v895_0021_03\trace.json,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_rgb_518.png,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_mask_518.png,True,True,True,True,True,True,V270_auto_evolved_photometric_repair
current_v895_0021_03,same_topology_no_semantic,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\same_topology_no_semantic\full_scene_rgb_pointcloud.ply,True,D:\vggt\vggt-canonical-surfel-adapter\output\V23000000000000000_per_case_full_forward_effect\current_v895_0021_03\trace.json,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_rgb_518.png,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_mask_518.png,True,True,True,True,True,True,V270_auto_evolved_photometric_repair
current_v895_0021_03,posthoc_surfel_only,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\posthoc_surfel_only\full_scene_rgb_pointcloud.ply,True,D:\vggt\vggt-canonical-surfel-adapter\output\V23000000000000000_per_case_full_forward_effect\current_v895_0021_03\trace.json,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_rgb_518.png,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_mask_518.png,True,True,True,True,True,True,V270_auto_evolved_photometric_repair
current_v895_0021_03,tiny_synthetic_token_control,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply,True,D:\vggt\vggt-canonical-surfel-adapter\output\V23000000000000000_per_case_full_forward_effect\current_v895_0021_03\trace.json,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_rgb_518.png,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_mask_518.png,True,True,True,True,True,True,V270_auto_evolved_photometric_repair
current_v895_0021_03,source_label_only_control,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\source_label_only_control\full_scene_rgb_pointcloud.ply,True,D:\vggt\vggt-canonical-surfel-adapter\output\V23000000000000000_per_case_full_forward_effect\current_v895_0021_03\trace.json,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_rgb_518.png,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_mask_518.png,True,True,True,True,True,True,V270_auto_evolved_photometric_repair
current_v895_0021_03,local_detail_no_smpl,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\local_detail_no_smpl\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\local_detail_no_smpl\full_scene_rgb_pointcloud.ply,True,D:\vggt\vggt-canonical-surfel-adapter\output\V23000000000000000_per_case_full_forward_effect\current_v895_0021_03\trace.json,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_rgb_518.png,D:\vggt\vggt-canonical-surfel-adapter\output\V130000000000000000_projection_assets\current_v895_0021_03\camera00_mask_518.png,True,True,True,True,True,True,V270_auto_evolved_photometric_repair
