case,config,source_config,human_points,environment_points,human_ratio,same_point_budget,same_environment_budget,mask_inside_ratio,edge_alignment,rgb_reprojection_residual,projection_score,head_hair_projection_score,hand_arm_projection_score,clothing_projection_score,local_projection_score,fair_score_v2,config_name_used_for_bonus,detail_bonus_used,control_penalty_used,prediction_npz,ply
current_v895_0021_03,photometric_geometry_true,detail_verified_true,60000,24000,0.7142857142857143,True,True,0.9989833333333333,0.30988332629203796,0.0,0.7925379978876114,0.8067111076595247,0.8461285756349564,0.7688935494388303,0.8072444109111038,0.8108778814809662,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\photometric_geometry_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\photometric_geometry_true\full_scene_rgb_pointcloud.ply
current_v895_0021_03,real_vggt_baseline_only,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,0.8344666666666667,0.06878333538770676,0.043440189212560654,0.6389477476367951,0.6273614330065251,0.6042225275814533,0.6534747614575009,0.6283529073484931,0.6677494656273409,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
current_v895_0021_03,random_smpl_feature,random_smpl_feature,60000,24000,0.7142857142857143,True,True,0.7091,0.04149999842047691,0.048760149627923965,0.5766191576303243,0.5520361179929971,0.48592238257229337,0.6197201076314334,0.5525595360655746,0.6099918561307272,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\random_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\random_smpl_feature\full_scene_rgb_pointcloud.ply
current_v895_0021_03,shuffled_smpl_feature,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,0.76285,0.04846666753292084,0.048739150166511536,0.601290038213253,0.580636243469119,0.5305128155171871,0.6311969131448576,0.5807819907103879,0.6325779651490618,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
current_v895_0021_03,same_topology_no_semantic,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,0.8545,0.04058333486318588,0.05793457478284836,0.6348433195197583,0.6363878926956654,0.5901781530290842,0.6633618302340469,0.6299759586529322,0.664315412101208,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
current_v895_0021_03,posthoc_surfel_only,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,0.8103833333333333,0.042633332312107086,0.05887299403548241,0.616666561363697,0.6217132996344567,0.5414248501479626,0.6267246845976,0.5966209447933398,0.6462031863873482,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
current_v895_0021_03,tiny_synthetic_token_control,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,0.75175,0.046566665172576904,0.04679792746901512,0.5966015798604489,0.5788334688133001,0.5247047254025936,0.6304849306741069,0.5780077082966669,0.6286246968041469,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
current_v895_0021_03,source_label_only_control,source_label_only_control,60000,24000,0.7142857142857143,True,True,0.7375833333333334,0.0437166653573513,0.04657013341784477,0.5898603622502089,0.5680110734921695,0.5109649544775486,0.6262125554116502,0.5683961944604561,0.6222222856627879,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\source_label_only_control\full_scene_rgb_pointcloud.ply
current_v895_0021_03,local_detail_no_smpl,local_detail_no_smpl,60000,24000,0.7142857142857143,True,True,0.77215,0.060233332216739655,0.04882503300905228,0.6087019904224873,0.6013840210890771,0.5317568729281426,0.6336485865842911,0.5889298268671702,0.6393914084268376,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\local_detail_no_smpl\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\local_detail_no_smpl\full_scene_rgb_pointcloud.ply
current_v895_0021_03,smpl_no_local_detail,smpl_no_local_detail,60000,24000,0.7142857142857143,True,True,0.8083,0.05925000086426735,0.04888115078210831,0.62357427804029,0.6130288140666484,0.5761043809175491,0.6409824891971003,0.610038561393766,0.6534602254865407,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\smpl_no_local_detail\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\smpl_no_local_detail\full_scene_rgb_pointcloud.ply
current_v895_0021_03,scaffold_only_no_vggt,scaffold_only_no_vggt,60000,24000,0.7142857142857143,True,True,0.8218833333333333,0.02879999950528145,0.05263804271817207,0.6190923478904962,0.6343759430664777,0.542795264801383,0.6601693281464038,0.6124468453380881,0.6499902731873305,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\scaffold_only_no_vggt\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\current_v895_0021_03\scaffold_only_no_vggt\full_scene_rgb_pointcloud.ply
0021_03_frame001,photometric_geometry_true,detail_verified_true,60000,24000,0.7142857142857143,True,True,0.9992,0.30845001339912415,0.0,0.7921990040197373,0.8103050034809113,0.8445571412563324,0.7657645158021681,0.8068755535131372,0.8105602568322443,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\photometric_geometry_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\photometric_geometry_true\full_scene_rgb_pointcloud.ply
0021_03_frame001,real_vggt_baseline_only,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,0.8372166666666667,0.06961666792631149,0.043389324098825455,0.6403669896302224,0.6313829447340966,0.6062179153263569,0.6568742151522828,0.6314916917375788,0.6692345219999104,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
