bundle,path,readable,zip_clean,entry_count,bytes,sha256,suffix_counts
V290000000000000000_controls_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_controls_bundle.zip,True,True,3,749217,18f142c39c32499aa57e88958ee5e0d1698c6f085c698870b68db5323573f86d,"{"".csv"": 1, "".png"": 2}"
V290000000000000000_core_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_core_bundle.zip,True,True,2,28740,3874722ded629612f017208d079c65592d45b65833a3d9e06cad1ddf5ecd9a96,"{"".py"": 2}"
V290000000000000000_environment_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_environment_bundle.zip,True,True,2,131779,259766ae64209679cf5c0e7098cd453c84ff6d013c2595d0c3fcb2e4932464ee,"{"".json"": 1, "".png"": 1}"
V290000000000000000_local_closeups_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_local_closeups_bundle.zip,True,True,3,838645,d214649928199dd8f4b56760ac5df9023e6218d2eabe5a1486f564135e6d8403,"{"".png"": 3}"
V290000000000000000_metrics_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_metrics_bundle.zip,True,True,2,7336,d8a6590ebee38ee8aad19344c4b4811df37c73d719010a3c0f7da6c9c237cad3,"{"".csv"": 2}"
V290000000000000000_multisequence_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_multisequence_bundle.zip,True,True,2,92261,4ad356643a7df47f4ee958787a98eb9d45208c8171400f1a93ac78bdd905dc87,"{"".json"": 1, "".png"": 1}"
V290000000000000000_photometric_matrix_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_photometric_matrix_bundle.zip,True,True,2,8167,c18ff9a667ab671f97a096b7d52b87580d5c15a0f6fbf3f211fc835553a2a843,"{"".csv"": 2}"
V290000000000000000_predictions_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_predictions_bundle.zip,True,True,120,202474861,2161d4821ed72799123c89d80f4fa8c252176194c7d16172f834956ba05668b0,"{"".npz"": 60, "".ply"": 60}"
V290000000000000000_projection_assets_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_projection_assets_bundle.zip,True,True,12,802169,23ec3c2d086cd68c2499451889337b9dcb0d2684394f6af9ec6e0f39ec70fed1,"{"".png"": 12}"
V290000000000000000_reports_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_reports_bundle.zip,True,True,883,1833127,2e70746664027ec5f44496d71dffea6efe8bdb0e40434433b5ed278297e99dd4,"{"".csv"": 143, "".json"": 464, "".md"": 275, "".png"": 1}"
V290000000000000000_viewer_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_viewer_bundle.zip,True,True,8,6623687,2bc43b136e7c994f587fd0075a18aa0e8f9d9fc3bcf1c1db1a8486d4b3096b77,"{"".html"": 1, "".md"": 1, "".ply"": 6}"
V290000000000000000_visuals_bundle.zip,D:\vggt\vggt-canonical-surfel-adapter\archive\V290000000000000000_visuals_bundle.zip,True,True,2,744128,1129ae847b9bfbcc2dda9f2d58b48bf2e667c5fd268249cb6f1def254ea41325,"{"".png"": 2}"
