config,status,steps_completed,final_total_loss,teacher_copy_detected
v50r2_distilled_true,local_smoke_pass,300,0.05709952861070633,
VGGT baseline,local_smoke_pass,300,0.08486631512641907,
no SMPL,local_smoke_pass,300,0.057971011847257614,
no teacher loss,local_smoke_pass,300,2.976345285787829e-07,
shuffled semantic,local_smoke_pass,300,0.05772103741765022,
same topology no semantic,local_smoke_pass,300,0.05727345496416092,
shell only,local_smoke_pass,300,0.43919551372528076,
observation only,local_smoke_pass,300,0.0568101592361927,
visible-only,local_smoke_pass,300,0.056712277233600616,
teacher-copy diagnostic,teacher_copy_diagnostic_pass,0,,True
