region,view,crop_id,step,loss,loss_point,loss_depth,loss_normal,grad_norm
head_face,4,4,0,0.03911171481013298,3.445789218403661e-07,2.80538415609044e-07,0.15042799711227417,0.0025064561050385237
head_face,4,4,60,0.026666343212127686,3.720872882695403e-06,3.36407128997962e-06,0.10254421830177307,0.0
head_face,4,4,120,0.026666343212127686,3.720872882695403e-06,3.36407128997962e-06,0.10254421830177307,0.0
head_face,4,4,179,0.026666343212127686,3.720872882695403e-06,3.36407128997962e-06,0.10254421830177307,0.0
hairline,4,10,0,0.037084538489580154,4.082356497292494e-07,3.5553711086322437e-07,0.14263084530830383,0.00258257903624326
hairline,4,10,60,0.025053469464182854,3.4683594094531145e-06,3.3958724543481367e-06,0.09634179621934891,0.0
hairline,4,10,120,0.025053469464182854,3.4683594094531145e-06,3.3958724543481367e-06,0.09634179621934891,0.0
hairline,4,10,179,0.025053469464182854,3.4683594094531145e-06,3.3958724543481367e-06,0.09634179621934891,0.0
left_hand,3,15,0,0.031802669167518616,2.5307913542604865e-09,6.266189789272403e-10,0.12231794744729996,0.0023248306824825704
left_hand,3,15,60,0.020626870915293694,3.2361642752221087e-06,3.253197291996912e-06,0.07931748777627945,0.0
left_hand,3,15,120,0.020626870915293694,3.2361642752221087e-06,3.253197291996912e-06,0.07931748777627945,0.0
left_hand,3,15,179,0.020626870915293694,3.2361642752221087e-06,3.253197291996912e-06,0.07931748777627945,0.0
right_hand,3,21,0,0.031447697430849075,1.0318559873212507e-07,3.148938532149259e-08,0.12095225602388382,0.0024479551939293742
right_hand,3,21,60,0.0203058160841465,3.447976041570655e-06,3.212683395759086e-06,0.0780818909406662,0.0
right_hand,3,21,120,0.0203058160841465,3.447976041570655e-06,3.212683395759086e-06,0.0780818909406662,0.0
right_hand,3,21,179,0.0203058160841465,3.447976041570655e-06,3.212683395759086e-06,0.0780818909406662,0.0
