region,view,crop_id,feature_dim,hidden_dim,steps,lr,max_delta,identity_l2,normal_identity_l2,grad_nonzero,loss_start,loss_end,mse_before_point,mse_after_point,synthetic_fit_drop,changed_pixels,outside_roi_changed,target_roi_changed,normal_status,attempt_id,classification,v629_delta
head_face,4,4,290,256,150,0.007,0.0024,0.0,2.5823858607054717e-08,True,0.0533757284283638,0.03630824387073517,6.423973104574543e-07,6.166390448925085e-06,-8.5990290565413,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",0,HEAD_HAIR_TRUE_GAIN,"{'mean_quality': 0.00046968380610135085, 'local_detail_quality': 0.0005402933756509798, 'full_body_quality': 0.00011663595835353924, 'head_face_quality': 0.000875755747159257, 'hairline_quality': 0.0009499553839367181, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
hairline,4,10,290,256,150,0.007,0.0024,0.0,2.5823858607054717e-08,True,0.05137135460972786,0.03471042215824127,7.129318078114011e-07,6.364123692037538e-06,-7.926693440112441,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",0,HEAD_HAIR_TOO_WEAK,"{'mean_quality': 4.425346851300027e-06, 'local_detail_quality': 1.3839006423044253e-06, 'full_body_quality': 1.9632577896167014e-05, 'head_face_quality': -0.00011352072159453996, 'hairline_quality': 0.00023396094640093512, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
head_face,4,4,290,320,170,0.006,0.0028,0.0,2.5823858607054717e-08,True,0.05576718971133232,0.037956852465867996,8.26712607704394e-07,8.124418855004478e-06,-8.827379889081733,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",1,HEAD_HAIR_TRUE_GAIN,"{'mean_quality': 0.0007446749011674747, 'local_detail_quality': 0.0008347645998000308, 'full_body_quality': 0.0002942264080045831, 'head_face_quality': 0.0019296684861183078, 'hairline_quality': 0.0003144860267638716, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
hairline,4,10,290,320,170,0.006,0.0028,0.0,2.5823858607054717e-08,True,0.05354415997862816,0.03617364913225174,9.818432999963989e-07,8.369411261810455e-06,-7.524182282285933,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",1,HEAD_HAIR_TOO_WEAK,"{'mean_quality': 0.00015214886930248195, 'local_detail_quality': 0.00017679786682123222, 'full_body_quality': 2.890388170850855e-05, 'head_face_quality': 0.00024995326995858047, 'hairline_quality': 0.00038408279418944424, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
head_face,4,4,162,224,160,0.009,0.0022,0.0,2.5823858607054717e-08,True,0.05765620619058609,0.039281878620386124,5.281701760395663e-07,5.087530098535353e-06,-8.63236912898739,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",2,HEAD_HAIR_TRUE_GAIN,"{'mean_quality': 0.0007570484942859279, 'local_detail_quality': 0.0008425496021906564, 'full_body_quality': 0.0003295429547627293, 'head_face_quality': 0.001928687989711797, 'hairline_quality': 0.0003553720315296882, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
hairline,4,10,162,224,160,0.009,0.0022,0.0,2.5823858607054717e-08,True,0.054635632783174515,0.03687092289328575,6.074903353692207e-07,4.957316832587821e-06,-7.160322138417003,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",2,HEAD_HAIR_TOO_WEAK,"{'mean_quality': 0.00021588557296325916, 'local_detail_quality': 0.0002388347784677558, 'full_body_quality': 0.00010113954544066495, 'head_face_quality': 0.0006491992870967245, 'hairline_quality': -0.00010422468185422584, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
head_face,4,4,290,384,180,0.005,0.003,0.0,2.5823858607054717e-08,True,0.05826808512210846,0.03968053311109543,9.906499371936661e-07,9.618212970963214e-06,-8.708992662140462,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",3,HEAD_HAIR_TRUE_GAIN,"{'mean_quality': 0.0004568384422195537, 'local_detail_quality': 0.0005252713759740235, 'full_body_quality': 0.00011467377344764884, 'head_face_quality': 0.0009260947505633776, 'hairline_quality': 0.0007741673787435843, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
hairline,4,10,290,384,180,0.005,0.003,0.0,2.5823858607054717e-08,True,0.05524713918566704,0.037291742861270905,1.1200414746781462e-06,1.0271465725963935e-05,-8.170611944451014,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",3,HEAD_HAIR_TRUE_GAIN,"{'mean_quality': 0.00030428349971767243, 'local_detail_quality': 0.000347316026687583, 'full_body_quality': 8.912086486811965e-05, 'head_face_quality': 0.0005618111292520211, 'hairline_quality': 0.0006129578749339837, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
head_face,4,4,34,256,170,0.01,0.0024,0.0,2.5823858607054717e-08,True,0.05419930815696716,0.036863431334495544,6.374157237587497e-07,5.995051651552785e-06,-8.4052459456143,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",4,HEAD_HAIR_TRUE_GAIN,"{'mean_quality': 0.0006804983814556742, 'local_detail_quality': 0.0007627281745273828, 'full_body_quality': 0.00026934941609702, 'head_face_quality': 0.0017473728458088367, 'hairline_quality': 0.00031889518102012904, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
hairline,4,10,34,256,170,0.01,0.0024,0.0,2.5823858607054717e-08,True,0.05200390890240669,0.035127248615026474,7.351189879045705e-07,6.828614004916744e-06,-8.28912749809586,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",4,HEAD_HAIR_TOO_WEAK,"{'mean_quality': 0.00032824122243457765, 'local_detail_quality': 0.00036783246199278974, 'full_body_quality': 0.00013028502464285108, 'head_face_quality': 0.0008497922619183917, 'hairline_quality': 0.00013957778612783134, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
head_face,4,4,290,192,150,0.012,0.002,0.0,2.5823858607054717e-08,True,0.059597477316856384,0.04064856469631195,4.4761907247448107e-07,4.404696937854169e-06,-8.840279846666458,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",5,HEAD_HAIR_TOO_WEAK,"{'mean_quality': 0.000109526978598673, 'local_detail_quality': 0.0001273762385050059, 'full_body_quality': 2.0280679066786433e-05, 'head_face_quality': 0.00018543183803565455, 'hairline_quality': 0.00026601751645405347, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
hairline,4,10,290,192,150,0.012,0.002,0.0,2.5823858607054717e-08,True,0.05638496205210686,0.03809773176908493,4.95496919938887e-07,4.4360485844663344e-06,-7.952726860569511,1200,0,1200,"{'nonzero_ratio_gt_1e_4': 1.0, 'mean_norm': 1.0, 'min_norm': 0.9999998807907104, 'max_norm': 1.0000001192092896}",5,HEAD_HAIR_TOO_WEAK,"{'mean_quality': 4.0859911176860386e-05, 'local_detail_quality': 4.8461914062380984e-05, 'full_body_quality': 2.8498967488133076e-06, 'head_face_quality': -6.902575492850893e-05, 'hairline_quality': 0.00038036108016969994, 'left_hand_quality': 0.0, 'right_hand_quality': 0.0}"
