case,config,human_points,environment_points,human_ratio,same_point_budget,same_environment_budget,copied_from_v190,old_surfel_used_as_structure_prior,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,mask_inside_ratio,edge_alignment,rgb_residual,silhouette_coverage,fair_3d_score,prediction_npz,ply
current_v895_0021_03,canonical_surfel_residual_true,60000,24000,0.7142857142857143,True,True,False,True,False,False,0.41178333333333333,0.018683333333333333,0.17004212737083435,0.7657992565055762,0.4935092219855605,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\canonical_surfel_residual_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\canonical_surfel_residual_true\full_scene_rgb_pointcloud.ply
current_v895_0021_03,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,False,True,False,False,0.4505166666666667,0.018416666666666668,0.16920340061187744,0.7211895910780669,0.49485788431380795,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
current_v895_0021_03,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,False,True,False,False,0.4505166666666667,0.018416666666666668,0.16920340061187744,0.7211895910780669,0.49485788431380795,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
current_v895_0021_03,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,False,True,False,False,0.58605,0.0293,0.1986900418996811,0.6319702602230484,0.5125295566758259,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
current_v895_0021_03,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,False,True,False,False,0.9485833333333333,0.0195,0.04163411632180214,0.9739776951672863,0.7431992671941279,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
current_v895_0021_03,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,False,True,False,False,0.41178333333333333,0.018683333333333333,0.17369912564754486,0.7657992565055762,0.49277782233021844,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
current_v895_0021_03,source_label_only_control,60000,24000,0.7142857142857143,True,True,False,True,False,False,0.9917,0.05265,0.2009039670228958,1.0,0.7392727065954209,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\source_label_only_control\full_scene_rgb_pointcloud.ply
current_v895_0021_03,scaffold_only_no_vggt,60000,24000,0.7142857142857143,True,True,False,True,False,False,0.58605,0.0293,0.19769936800003052,0.6319702602230484,0.5127276914557559,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\scaffold_only_no_vggt\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\current_v895_0021_03\scaffold_only_no_vggt\full_scene_rgb_pointcloud.ply
0021_03_frame001,canonical_surfel_residual_true,60000,24000,0.7142857142857143,True,True,False,True,False,False,0.41355,0.017866666666666666,0.17104139924049377,0.7657992565055762,0.4936868676116286,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\0021_03_frame001\canonical_surfel_residual_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\0021_03_frame001\canonical_surfel_residual_true\full_scene_rgb_pointcloud.ply
0021_03_frame001,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,False,True,False,False,0.45061666666666667,0.017983333333333334,0.17082716524600983,0.7174721189591078,0.49353609669057497,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\0021_03_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V880000000000000000_canonical_surfel_residual_matrix\0021_03_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
