case,config,human_points,environment_points,human_ratio,same_point_budget,same_environment_budget,copied_from_v190,copied_from_v740,teacher_points_used_at_inference,raw_kinect_depth_used_at_inference,mask_inside_ratio,edge_alignment,rgb_residual,silhouette_coverage,fair_3d_score,prediction_npz,ply
current_v895_0021_03,real_per_case_residual_true,60000,24000,0.7142857142857143,True,True,False,False,False,False,1.0,0.10841666666666666,0.0,1.0,0.7949358333333334,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\real_per_case_residual_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\real_per_case_residual_true\full_scene_rgb_pointcloud.ply
current_v895_0021_03,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9917,0.05265,0.0,1.0,0.7794535,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
current_v895_0021_03,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9917,0.05265,0.0,1.0,0.7794535,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
current_v895_0021_03,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.58605,0.0293,0.1986900418996811,0.6319702602230484,0.5125295566758259,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
current_v895_0021_03,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9485833333333333,0.0195,0.04163411632180214,0.9739776951672863,0.7431992671941279,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
current_v895_0021_03,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,False,False,False,False,1.0,0.10841666666666666,0.1908547282218933,1.0,0.7567648876889547,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
current_v895_0021_03,source_label_only_control,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9917,0.05265,0.2009039670228958,1.0,0.7392727065954209,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\source_label_only_control\full_scene_rgb_pointcloud.ply
current_v895_0021_03,scaffold_only_no_vggt,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.58605,0.0293,0.19769936800003052,0.6319702602230484,0.5127276914557559,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\scaffold_only_no_vggt\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\current_v895_0021_03\scaffold_only_no_vggt\full_scene_rgb_pointcloud.ply
0021_03_frame001,real_per_case_residual_true,60000,24000,0.7142857142857143,True,True,False,False,False,False,1.0,0.10751666666666666,0.0,1.0,0.7947288333333333,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\real_per_case_residual_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\real_per_case_residual_true\full_scene_rgb_pointcloud.ply
0021_03_frame001,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,False,False,False,False,0.9915166666666667,0.0524,0.0,1.0,0.7793373333333333,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V910000000000000000_real_per_case_residual_matrix\0021_03_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
